[00:00:00][ZH] 那我講,那家長可能看了報告之後
[00:02:58][ZH] 你放任它在原始的狀態
[00:03:00][ZH] 真的是什麼事都很難做得到
[00:03:02][ZH] 會是被非常被非常被
[00:03:05][ZH] 然後都沒有辦這樣子
[00:03:06][ZH] 對,然後目前這個勝虛率大概5到10%
[00:03:09][ZH] 然後好像覺得有增加的趨勢
[00:03:12][ZH] 但事實上我覺得某部分
[00:03:13][ZH] 當然是它勝虛率真的有點增加
[00:03:15][ZH] 因為我們都市化得很嚴重
[00:03:17][ZH] 然後3C又用了很多
[00:03:18][ZH] 會讓它的症狀痕被凸顯出來這樣
[00:03:21][ZH] 那再來就是說其實覺察變得非常好
[00:03:24][ZH] 因為剛剛那個局長就說啦
[00:03:26][ZH] 我們就是融合教育嘛
[00:03:27][ZH] 所以那個老師在那個團體裡面
[00:03:30][ZH] 他遇到一些比較有一點點狀況的小朋友
[00:03:33][ZH] 他們會很快的覺察出來
[00:03:35][ZH] 像我們這麼一群人啊
[00:03:37][ZH] 如果有一個人椅子上面有來流去流去
[00:03:39][ZH] 非常的明顯
[00:03:40][ZH] 因為大家都很安靜
[00:03:42][ZH] 然後他就會被凸顯出來
[00:03:43][ZH] 所以老師在外上看是非常的顯著的
[00:03:47][ZH] 會比較敏感
[00:03:48][ZH] 那家長自己在家裡
[00:03:49][ZH] 因為他們常常一兩個小孩而已
[00:03:51][ZH] 他就不知道說
[00:03:52][ZH] 他這樣的表現到底是不是異常
[00:03:54][ZH] 因為他沒有一個常磨可以去做對照
[00:03:56][ZH] 所以有時候我們會蠻看重老師的一些觀察
[00:03:59][ZH] 那所以就是敏感度變多了
[00:04:01][ZH] 那所以他們就會比較把它推來治療
[00:04:05][ZH] 那當然有些家長會覺得說
[00:04:06][ZH] 現在老師什麼東西都疾病化
[00:04:08][ZH] 都叫你去看醫生
[00:04:09][ZH] 脾氣壞也叫你去看醫生
[00:04:11][ZH] 然後坐不住也叫你看醫生
[00:04:12][ZH] 學校也叫你看醫生
[00:04:13][ZH] 然後我就說
[00:04:15][ZH] 沒辦法啊
[00:04:16][ZH] 他們也沒辦法處發小孩啊
[00:04:18][ZH] 他們現在可以管教的工具非常的少
[00:04:21][ZH] 因為我們也希望說
[00:04:23][ZH] 因為現在小孩也真的很少
[00:04:25][ZH] 我們也希望說我們可以趕快
[00:04:27][ZH] 看出他的困難的地方
[00:04:29][ZH] 然後在他困難的地方
[00:04:31][ZH] 可以及時的給予協助
[00:04:32][ZH] 而不是用過去那一套那種打罵方式
[00:04:35][ZH] 以前沒有ADHD嗎
[00:04:37][ZH] 怎麼可能
[00:04:37][ZH] 以前就在放牛班和後段班
[00:04:39][ZH] 不是嗎
[00:04:41][ZH] 不想讀書好嗎
[00:04:42][ZH] 那你就是去後段班
[00:04:43][ZH] 你這樣讀書沒關係
[00:04:44][ZH] 你就在外面混啊
[00:04:46][ZH] 去逃學啊
[00:04:47][ZH] 然後去混公廟
[00:04:48][ZH] 以前不知道是工
[00:04:49][ZH] 以前是那個
[00:04:50][ZH] 以前往後面那麼發達
[00:04:51][ZH] 詐騙那種好轉的時候
[00:04:52][ZH] 都是去黑島嘛
[00:04:54][ZH] 對啊
[00:04:55][ZH] 就在外面那個跟人家在一起啊
[00:04:57][ZH] 那女生不會讀書的
[00:04:58][ZH] 就是在後段班啊
[00:04:59][ZH] 然後就一直被罵說
[00:05:00][ZH] 你就是不認真
[00:05:01][ZH] 你就是懶惰啊
[00:05:02][ZH] 你就是沒討厭啦
[00:05:04][ZH] 沒路由啊
[00:05:05][ZH] 這種的
[00:05:06][ZH] 對
[00:05:06][ZH] 那他們有時候可能
[00:05:07][ZH] 到國高中腦部比較成熟之後
[00:05:09][ZH] 自己發現
[00:05:10][ZH] 其實自己並沒有那麼笨
[00:05:11][ZH] 他們可能開始會去發展
[00:05:12][ZH] 自己的事業
[00:05:13][ZH] 那有些就發展得還不錯
[00:05:15][ZH] 好
[00:05:16][ZH] 那那個我們要講的是說
[00:05:19][ZH] 這個神經氓氓性疾病
[00:05:21][ZH] 它絕對都有生病的問題
[00:05:23][ZH] 那像ADHD的話
[00:05:25][ZH] 它可能是跟正身上腺素
[00:05:27][ZH] 跟多巴胺有關係這樣
[00:05:29][ZH] 那血清素的話
[00:05:30][ZH] 跟我們的焦慮憂鬱有一些關係
[00:05:32][ZH] 所以也會有相對應的藥物介入這樣
[00:05:35][ZH] 那ADHD目前大部分的講說是說
[00:05:39][ZH] 它的腦部成熟比較慢一點
[00:05:41][ZH] 尤其是在我們高階的比赤功能
[00:05:44][ZH] 就前額葉、額捏葉的部分
[00:05:47][ZH] 他們在mature的時間都比一般的小朋友可能晚2到5年這樣
[00:05:52][ZH] 所以他們在小時候會讓人家覺得他跟同齡的比起來
[00:05:56][ZH] 看起來就比較幼稚
[00:05:57][ZH] 做事情沒有思慮
[00:05:59][ZH] 然後好像不會去想事情的後果
[00:06:01][ZH] 然後也這樣恰恰留這樣子
[00:06:03][ZH] 那就會講說他比較慢
[00:06:06][ZH] 那他是不是後來就會好
[00:06:07][ZH] 這也是有點哀傷的事情
[00:06:10][ZH] 就是其實他會隨著年齡而改善
[00:06:12][ZH] 但是其實有些人他還是會殘存一些症狀
[00:06:17][ZH] 其實有一半的成年人他到成年期之後
[00:06:20][ZH] 他可能還是有一半的注意力的問題
[00:06:22][ZH] 會去影響他日常生活的執行
[00:06:25][ZH] 那成年人有時候會覺得困擾沒有那麼明顯
[00:06:28][ZH] 是因為他們可以自己選擇他們的工作
[00:06:31][ZH] 他可以因為自己覺得我就是喜歡手作
[00:06:34][ZH] 我就是不喜歡看很多文字
[00:06:36][ZH] 那我去做一些操作的工作
[00:06:38][ZH] 我就覺得我的障礙好像就比較不見了
[00:06:40][ZH] 但是雖然可能在日常生活
[00:06:42][ZH] 還是會丟三八四望東旺西這樣子
[00:06:44][ZH] 然後他可能會做一些業務
[00:06:46][ZH] 比如他做業務
[00:06:47][ZH] 他就可以一直跑來跑去
[00:06:48][ZH] 他就不需要在一個地方待很久
[00:06:50][ZH] 然後坐很久
[00:06:52][ZH] 那他過動的一些不舒服的感覺
[00:06:54][ZH] 可能就會比較消失
[00:06:56][ZH] 所以其實成人他就比較可以靠去
[00:06:58][ZH] 製造他自己周邊的環境
[00:07:00][ZH] 去減緩他自己的障礙
[00:07:02][ZH] 但是小孩就沒辦法
[00:07:04][ZH] 因為他被要求
[00:07:06][ZH] 他就是要走來教室
[00:07:07][ZH] 做四五十分鐘
[00:07:08][ZH] 然後你就是要
[00:07:09][ZH] 國中以前就是這些科目你都要讀
[00:07:12][ZH] 你功課你都要寫,你沒有得選擇
[00:07:15][ZH] 所以它的障礙就會比較明顯
[00:07:17][ZH] 右邊這邊,它是一個社群研究
[00:07:20][ZH] 它其實在講說你在社群裡面追蹤一群人
[00:07:24][ZH] 從3歲追蹤到17歲
[00:07:25][ZH] 然後一段時間就讓他們的家長
[00:07:27][ZH] 讓他們自己填一些量表
[00:07:29][ZH] 你可以發現有一部分的人
[00:07:30][ZH] 他其實一直都是處於最上面那條紅線
[00:07:33][ZH] 他一直都是處於比較明顯的症狀
[00:07:36][ZH] 然後會一直持續到17歲
[00:07:38][ZH] 可是有一群人像黃線這一群
[00:07:40][ZH] 它就會慢慢的緩解
[00:07:41][ZH] 它症狀就會越來越好
[00:07:42][ZH] 但是紫色的這一群
[00:07:44][ZH] 就是有一群人
[00:07:45][ZH] 其實反而是在小學中年級
[00:07:47][ZH] 高年級的時候
[00:07:48][ZH] 慢慢產現出它的困難
[00:07:49][ZH] 那這個通常是專注力不好的小朋友
[00:07:52][ZH] 就是學習的需求越來越高的時候
[00:07:55][ZH] 它的困難就會越來越被凸顯出來
[00:07:57][ZH] 而且生活治理上
[00:07:59][ZH] 你也會覺得一箇中年級的小朋友
[00:08:00][ZH] 高年級的小朋友
[00:08:01][ZH] 他應該要能夠行動這些事情
[00:08:03][ZH] 那怎麼他到現在還沒有辦法自己行動
[00:08:06][ZH] 什麼時間該做什麼事情
[00:08:08][ZH] 什麼事情要怎麼排序
[00:08:09][ZH] 讓事情可以順利一點
[00:08:10][ZH] 他自己明天要去上學
[00:08:11][ZH] 他要該帶什麼東西
[00:08:13][ZH] 然後整理好
[00:08:14][ZH] 他怎麼會不知道
[00:08:15][ZH] 還是弄得亂七八糟
[00:08:17][ZH] 那這些問題就會被突顯出來
[00:08:19][ZH] 那我不知道這邊各位在座
[00:08:21][ZH] 有沒有小小孩
[00:08:22][ZH] 我有時候在門診
[00:08:24][ZH] 就驚訝地發現
[00:08:25][ZH] 我們一二年級的小朋友
[00:08:26][ZH] 他們晚上的書包
[00:08:27][ZH] 都還是爸爸媽媽在整理
[00:08:29][ZH] 我很難理解
[00:08:32][ZH] 我自己有三個小孩
[00:08:33][ZH] 那我最小的小孩
[00:08:35][ZH] 現在也六年級
[00:08:36][ZH] 最大已經高一二
[00:08:37][ZH] 我從來沒有在幫他們整理書包的
[00:08:39][ZH] 那因為他們注意力沒有不好
[00:08:42][ZH] 所以他們自己可以就是整理的還可以這樣子
[00:08:45][ZH] 那可是有些媽媽就真的一路幫小孩整理到三年級還在整理
[00:08:49][ZH] 我不太理解他們為什麼要做這件事
[00:08:51][ZH] 那有些時候是互動的結果
[00:08:54][ZH] 就是你沒有幫他整理就發現他就出包了
[00:08:57][ZH] 然後就爆炸了這樣子
[00:08:58][ZH] 那你就要幫他送東西
[00:08:59][ZH] 所以就領課每天晚上前一天幫他整理這樣子
[00:09:03][ZH] 所以這個就是要去注意
[00:09:05][ZH] 然後其實可以提早訓練的東西啦
[00:09:08][ZH] 那但是呢
[00:09:09][ZH] 如果真的有做力不足的能力
[00:09:10][ZH] 就是怎麼訓練
[00:09:11][ZH] 你都會覺得很挫折
[00:09:12][ZH] 他就是會忘記
[00:09:13][ZH] 然後你就會覺得他的態度
[00:09:14][ZH] 就是好像不會要勿計這樣子
[00:09:16][ZH] 好
[00:09:18][ZH] 那他們其實呢
[00:09:19][ZH] 除了那個表型上
[00:09:20][ZH] 看起來行為上有些困難
[00:09:21][ZH] 其實他下面是有一些
[00:09:23][ZH] 中央執行工程的一些確損
[00:09:25][ZH] 包括工作記憶啊
[00:09:26][ZH] 剛剛曾主任跟我講
[00:09:28][ZH] 他的意志衝動能力
[00:09:30][ZH] 然後組織彈性啊
[00:09:31][ZH] 組織規劃的能力
[00:09:32][ZH] 都有些困難
[00:09:33][ZH] 我常常在講
[00:09:34][ZH] 我們的前河夜
[00:09:35][ZH] 是我們的CPU啦
[00:09:36][ZH] 就是我們大腦的處理系統
[00:09:38][ZH] 那你CPU的效能不好的時候
[00:09:40][ZH] 你其他的東西你就不用做了
[00:09:42][ZH] 那我們的那個CPU就是我們的理性大腦
[00:09:46][ZH] 就是閒額葉是我們的理性大腦
[00:09:48][ZH] 那理性大腦呢
[00:09:49][ZH] 它要做很多那個調
[00:09:50][ZH] 就是篩選掉雜訊
[00:09:52][ZH] 然後它要能夠去偵測到什麼訊息是有用的
[00:09:55][ZH] 然後什麼東西是衝動
[00:09:56][ZH] 這個衝動我要能夠把它壓抑下來
[00:09:58][ZH] 然後去思考這個情緒
[00:10:00][ZH] 我現在把它展現出來的時候
[00:10:02][ZH] 會不會對現在的情境
[00:10:03][ZH] 或是其他人造成什麼影響
[00:10:05][ZH] 這個都是你的潛而業在執行的功能
[00:10:08][ZH] 那一旦他功能不髒的時候
[00:10:10][ZH] 是不是你就跟動物一樣了
[00:10:11][ZH] 人之所以有人
[00:10:13][ZH] 是因為我們有高階的一些認知執行能力
[00:10:16][ZH] 當你這些東西功能削弱的時候
[00:10:18][ZH] 你就跟那些比較衝動的
[00:10:20][ZH] 那些動物不清思索
[00:10:22][ZH] 然後就是這樣子用直覺在做事
[00:10:24][ZH] 用情緒化在做事情的一些creature
[00:10:28][ZH] 可能差不多對不對
[00:10:29][ZH] 所以我常常跟家長講出說
[00:10:31][ZH] 我們應該要協助他去提升
[00:10:34][ZH] 他的前額頁的功能
[00:10:35][ZH] 那怎麼提升
[00:10:36][ZH] 其實最快的當然是藥物
[00:10:38][ZH] 那當然就是我們還有一些其他的
[00:10:40][ZH] 比如說那個運動啊
[00:10:42][ZH] 然後有一些認知操作的一些策略
[00:10:45][ZH] 的一些訓練啊
[00:10:46][ZH] 結構化環境的訓練啊
[00:10:48][ZH] 這個也都是我們可以做的事情
[00:10:50][ZH] 那這個
[00:10:53][ZH] 它的影響當然是一輩子的啦
[00:10:56][ZH] 不過我就不多講
[00:10:57][ZH] 因為講一都給大家
[00:10:58][ZH] 大家可以慢慢看這樣子
[00:11:00][ZH] 其實ADHD的小孩如果講白話一點
[00:11:03][ZH] 他們大概就是有這些狀況
[00:11:05][ZH] 像這一張大概就是過動衝動的一些狀況
[00:11:09][ZH] 他們就是蠻小的
[00:11:10][ZH] 然後就很衝動
[00:11:12][ZH] 然後想到什麼就做什麼
[00:11:13][ZH] 然後無聊就是過去就給你戳一下弄一下
[00:11:16][ZH] 然後他的充弟姐妹就哇哇叫
[00:11:18][ZH] 然後就開始吵架
[00:11:19][ZH] 姐妹就打回來
[00:11:21][ZH] 趕快他就打
[00:11:22][ZH] 找到戰場了
[00:11:24][ZH] 趕快就給他打回去
[00:11:26][ZH] 然後就開始吵起來了
[00:11:28][ZH] 那爸媽就會覺得每天晚上都會發生這種事情
[00:11:31][ZH] 他們實在是很受不了
[00:11:32][ZH] 那你問他說你為什麼要做這件事
[00:11:35][ZH] 他講得出來嗎
[00:11:36][ZH] 他們都跟你說我也不知道
[00:11:38][ZH] 然後家長就會很生氣
[00:11:40][ZH] 為什麼你不知道你在做什麼
[00:11:42][ZH] 老師也是一樣
[00:11:43][ZH] 他在學校的時候就會幹一些奇怪怪的事
[00:11:46][ZH] 什麼從二樓丟東西下去
[00:11:47][ZH] 幹個自由落體
[00:11:48][ZH] 一旦幾秒可以到地上這樣
[00:11:50][ZH] 對
[00:11:50][ZH] 還有丟水壺的
[00:11:52][ZH] 就非常危險嘛
[00:11:53][ZH] 被他炸到的是超倒黴的
[00:11:55][ZH] 對啊
[00:11:55][ZH] 然後你問他說你幹嘛做這件事
[00:11:57][ZH] 不知道
[00:11:59][ZH] 他就是越問越火這樣子
[00:12:01][ZH] 他不知道幹嘛做
[00:12:03][ZH] 他就不知道
[00:12:04][ZH] 真的不知道
[00:12:05][ZH] 因為他就是一時資訊
[00:12:07][ZH] 他能成為一個意念出來之後
[00:12:08][ZH] 他就去做了
[00:12:09][ZH] 他也沒有想說有什麼後果
[00:12:11][ZH] 他就只覺得好玩
[00:12:12][ZH] 他想要測試看看是什麼樣子
[00:12:14][ZH] 好玩
[00:12:15][ZH] 去戳別人也是
[00:12:16][ZH] 別人就嘩嘩叫
[00:12:17][ZH] 好玩
[00:12:18][ZH] 好像按完去
[00:12:19][ZH] 他會按了就會響
[00:12:20][ZH] 就會亮
[00:12:21][ZH] 他就有一種規律性
[00:12:23][ZH] 我就去給他弄一下
[00:12:24][ZH] 就過過過過這樣子
[00:12:25][ZH] 所以你也知道說
[00:12:26][ZH] 如果有在帶班
[00:12:27][ZH] 就是班上有些小孩就很愛去讓別人生氣
[00:12:30][ZH] 那有那種特別愛生氣的小孩
[00:12:33][ZH] 他就會被當成目標
[00:12:35][ZH] 然後就三不五十就可以就是有一個衝突這樣
[00:12:39][ZH] 就把他弄到那個生氣的小孩
[00:12:40][ZH] 會大吼啊甚至翻桌啊
[00:12:42][ZH] 就是那個比較給小的小孩去弄的這樣
[00:12:45][ZH] 但是你要幫他們隔開有時候就是也很難啊
[00:12:48][ZH] 因為給小的就很愛找那個喜歡生氣的
[00:12:51][ZH] 然後他們就是很難言之滿足啊
[00:12:54][ZH] 很怕無聊
[00:12:55][ZH] 所以他無聊的時候
[00:12:56][ZH] 他就會想去做一些什麼事
[00:12:58][ZH] 包括他摳指甲也是
[00:12:59][ZH] 很多摳指甲就會說
[00:13:00][ZH] 老醫生他是不是有焦慮症
[00:13:03][ZH] 為什麼最近一直摳成那樣
[00:13:05][ZH] 有些小孩的確是焦慮症
[00:13:07][ZH] 但是如果他有合併ATHD的時候
[00:13:09][ZH] 往往後來都變成壞習慣
[00:13:11][ZH] 因為你要他坐在教室裡50分鐘
[00:13:13][ZH] 他什麼事都不能做
[00:13:14][ZH] 他能幹嘛
[00:13:15][ZH] 可是他身上又想要動
[00:13:16][ZH] 不是抖腳
[00:13:18][ZH] 就是摳啊
[00:13:19][ZH] 對啊
[00:13:19][ZH] 不然就切橡皮擦嘛
[00:13:21][ZH] 有些都切到碎片
[00:13:22][ZH] 然後去弄他的自動鉛筆
[00:13:25][ZH] 然後彈簧就弄不見
[00:13:26][ZH] 類似這樣子的一個狀況
[00:13:28][ZH] 注意力不足的小朋友
[00:13:31][ZH] 他其實就是他們的
[00:13:33][ZH] 注意力的條件能力很差
[00:13:35][ZH] 他很難 精細度不好
[00:13:36][ZH] 他不知道什麼訊息
[00:13:37][ZH] 是他該注意的訊息
[00:13:39][ZH] 所以他訊息他常常就是這樣哄哄哄
[00:13:41][ZH] 他搞不清楚
[00:13:42][ZH] 然後另外有些會 hyper focus
[00:13:44][ZH] 就是說他在做什麼事情
[00:13:45][ZH] 叫他他好像都沒聽到
[00:13:47][ZH] 會選擇性失聰
[00:13:48][ZH] 然後媽媽就說
[00:13:50][ZH] 他要吃什麼東西馬上就聽到了
[00:13:53][ZH] 然後他在看電視的時候
[00:13:54][ZH] 我去叫他叫一百遍都不會聽到
[00:13:56][ZH] 就是這樣
[00:13:57][ZH] 因為他們的訊息篩選有一點狀況
[00:13:59][ZH] 那有些當然是故意的啦
[00:14:01][ZH] 有些是不想要理他媽這樣子
[00:14:02][ZH] 那再來就是說他們很難多工
[00:14:06][ZH] 因為他工作記憶不好
[00:14:07][ZH] 所以他很難從時間去操弄太多的訊息這樣
[00:14:10][ZH] 然後會注意力一轉移他就忘記了
[00:14:13][ZH] 然後他們常常多發胺不太夠
[00:14:15][ZH] 所以他們有那個動機
[00:14:17][ZH] 多發胺是我們的動機的一個神經推到握手
[00:14:19][ZH] 所以他不太夠的時候
[00:14:20][ZH] 他其實沒有一個能量跟一個想法
[00:14:22][ZH] 想要去做一件事情
[00:14:23][ZH] 所以就常常覺得他不要不停很散漫
[00:14:26][ZH] 人生沒有目標,很茫然會聰明
[00:14:29][ZH] 但是事實上是因為他們就真的沒有那個驅力
[00:14:32][ZH] 讓他們覺得滿足
[00:14:33][ZH] 那有一些人是他很想到處尋求刺激
[00:14:37][ZH] 因為他就會覺得平常的小確幸
[00:14:39][ZH] 一點都不幸福,超無聊
[00:14:41][ZH] 所以他就會想去做席線運動
[00:14:43][ZH] 做一些很刺激的會去飆車啊
[00:14:45][ZH] 然後從高的地方跳下來啊
[00:14:47][ZH] 去找一些事情做這樣子
[00:14:50][ZH] 那東西他們其實是沒有耐心好把它放好
[00:14:53][ZH] 而且他們其實沒有那個策略啦
[00:14:55][ZH] 他們不知道怎麼分類或怎麼放
[00:14:57][ZH] 會看起來比較整齊
[00:14:58][ZH] 那有時候有些人是可以啦
[00:15:01][ZH] 可以弄好
[00:15:02][ZH] 但是大概一天而已
[00:15:03][ZH] 然後就亂又開始亂了
[00:15:05][ZH] 他們喜歡用到哪放到哪
[00:15:06][ZH] 那這個是一個身體的困難
[00:15:08][ZH] 它不是意志力可以控制的
[00:15:10][ZH] 你知道嗎
[00:15:11][ZH] 其實在整間也是一樣
[00:15:13][ZH] 就已經在吃藥了
[00:15:14][ZH] 然後他就會說
[00:15:15][ZH] 你到底要吃藥吃多久
[00:15:17][ZH] 你為什麼不能用意志力控制一下
[00:15:19][ZH] 你長大了
[00:15:20][ZH] 應該可以自己努力看看這樣
[00:15:21][ZH] 那雖然是一個精神喊話
[00:15:24][ZH] 但是我會覺得說
[00:15:25][ZH] 有時候他們就是真的很難
[00:15:27][ZH] 如果說一個過動的小孩
[00:15:28][ZH] 他要靠意志力
[00:15:29][ZH] 可以坐在班上40分鐘
[00:15:31][ZH] 然後都不要亂動
[00:15:32][ZH] 不要在那邊摸東摸西東西
[00:15:34][ZH] 掉下去發出聲響
[00:15:35][ZH] 他要花很多力氣
[00:15:36][ZH] 去隨時注意他自己的動作
[00:15:38][ZH] 那這樣子他根本沒辦法上課
[00:15:40][ZH] 而且還會精神非常的緊繃
[00:15:42][ZH] 所以他有時候
[00:15:43][ZH] 有些小孩坐一坐
[00:15:44][ZH] 他需要站起來休息一下
[00:15:45][ZH] 你知道嗎
[00:15:46][ZH] 對 然後再坐下來
[00:15:47][ZH] 對 那就會
[00:15:49][ZH] 讓人家覺得很奇怪
[00:15:49][ZH] 每次幹嘛站起來
[00:15:51][ZH] 是因為他真的很努力在忍耐
[00:15:53][ZH] 但是他實在受不了了
[00:15:54][ZH] 所以就知道說
[00:15:56][ZH] 他們其實醫治醫是非常難控制的
[00:15:58][ZH] 然後這個是遺傳天生的
[00:16:00][ZH] 不是教養
[00:16:00][ZH] 因為很多媽媽就會說
[00:16:02][ZH] 是我懷孕過程怎樣
[00:16:03][ZH] 大部分都不是
[00:16:04][ZH] 然後說什麼
[00:16:05][ZH] 我是不是教養怎樣
[00:16:06][ZH] 就是被他太兇太嚴厲什麼的
[00:16:08][ZH] 但是其實就是
[00:16:10][ZH] 大部分是天生
[00:16:11][ZH] 其實很多一二一兩歲兩三歲
[00:16:13][ZH] 那個小孩的氣質你就看得出來
[00:16:15][ZH] 就是恰恰愛生氣
[00:16:16][ZH] 或是說是一個比較貼心的小孩
[00:16:19][ZH] 那時候兩三歲常常都看得出來了
[00:16:20][ZH] 但是不當的教養會惡化它的行為
[00:16:24][ZH] 所以我們為什麼要早期辨識
[00:16:26][ZH] 我們都說它可能是會帶著你一輩子的
[00:16:28][ZH] 那我們早期把它整斷去要怎麼用
[00:16:30][ZH] 是不是就早期介入嗎
[00:16:32][ZH] 去做OT嗎
[00:16:33][ZH] 做很多早期療愈嗎
[00:16:34][ZH] 其實很多早期療愈的ADHD的效果是有限的
[00:16:37][ZH] 因為它那個東西沒辦法類化
[00:16:39][ZH] 我們可以去練一些好的習慣
[00:16:42][ZH] 自我意志的行為觀察別人
[00:16:44][ZH] 聽訊息
[00:16:44][ZH] 執行策略
[00:16:45][ZH] 是可以稍微練一下
[00:16:47][ZH] 但是那個專注力的調控
[00:16:48][ZH] 並不是這樣就可以練好的
[00:16:49][ZH] 所以很多就是學齡前練了兩三年
[00:16:53][ZH] 然後到了小學之後還是得來吃藥這樣
[00:16:55][ZH] 他也是遇到很大的困難
[00:16:57][ZH] 那這個東西呢就是早期辨識要幹嘛
[00:17:00][ZH] 其實就是家長自己要能夠理解這個小孩
[00:17:02][ZH] 用比較合適的方式去跟他們互動
[00:17:06][ZH] 去教典他們
[00:17:07][ZH] 然後儘量避免製造他們的人生創傷
[00:17:10][ZH] 你知道這些小孩常常有很多micro trauma
[00:17:12][ZH] 就是他就三不十被罵
[00:17:14][ZH] 然後莫名其妙就被針對
[00:17:16][ZH] 真的會針對因為會有刻板印象
[00:17:19][ZH] 就你做壞事做多了
[00:17:20][ZH] 以後有任何一件壞事就是你做的
[00:17:22][ZH] 是不是
[00:17:23][ZH] 對啊
[00:17:24][ZH] 所以就是他們在人生的歷程中
[00:17:26][ZH] 常常被指責
